work_id,title,publication_year,journal_name,abstract,gender_category
https://openalex.org/W2070393635,The Armchair Economist: Economics and Everyday Life.,1994,Journal of Finance,"Why does popcorn cost so much at the movies? When does it make sense not to recycle? Why are laws against polygamy detrimental to women? Steven E. Landsburg examines everything from taxes, unemployment and illiteracy to the mating game, the death penalty and environmentalism to solve the puzzling questions that occur in daily living. Both controversial and humorous, The Armchair Economist demystifies the economics of everyday behaviour, and shows how the laws of economics can reveal themselves in surprising ways. Put your convictions to the test with The Armchair Economist.",instrumental
https://openalex.org/W2490644261,Women's Liberation as a Financial Innovation,2019,Journal of Finance,"ABSTRACT In one of the greatest extensions of property rights in human history, common law countries began giving rights to married women in the 1850s. Before this “women's liberation,” the doctrine of coverture strongly incentivized parents of daughters to hold real estate, rather than financial assets such as money, stocks, or bonds. We exploit the staggered nature of coverture's demise across U.S. states to show that women's rights led to shifts in household portfolios, a positive shock to the supply of credit, and a reallocation of labor toward nonagriculture and capital‐intensive industries. Investor protection thus deepened financial markets, aiding industrialization.",instrumental
https://openalex.org/W4238154248,Financial Attention,2015,Review of Financial Studies,"This paper investigates financial attention using novel panel data on daily investor online account logins. We find support for selective attention to portfolio information. Account logins fall by 9.5% after market declines. Investors also pay less attention when the VIX volatility index is high. The level of attention and the attention/return correlation are strongly related to investor demographics (gender, age) and financial position (wealth, holdings). Using a new statistical decomposition, we show how aggregate and individual household trading are related to investor attention. Received October 31, 2014; accepted July 29, 2015 by Editor David Hirshleifer.",instrumental
https://openalex.org/W3108860220,"Banks, Firms, and Jobs",2018,Review of Financial Studies,"We analyze the heterogeneous employment effects of financial shocks using a rich data set of job contracts, matched with the universe of firms and their lending banks in one Italian region. To isolate the effect of the financial shock, we construct a firm-specific time-varying measure of credit supply. The preferred estimate indicates that the average elasticity of employment to a credit supply shock is |$0.36$|⁠. Adjustment affects both the extensive and the intensive margins and is concentrated among workers with temporary contracts. We also examine the heterogeneous effects of the credit crunch by education, age, gender and nationality. Received January 27, 2017; editorial decision December 1, 2017 by Editor Philip Strahan. Authors have furnished an Internet Appendix, which is available on the Oxford University Press Web site next to the link to the final published paper online.",instrumental
https://openalex.org/W3123593396,Gender and Connections among Wall Street Analysts,2017,Review of Financial Studies,"We examine how alumni ties with corporate boards differentially affect male and female analysts’ job performance and career outcomes. Connections improve analysts’ forecasting accuracy and recommendation impact, but the effect is two to three times as large for men as for women. Connections also contribute to analysts’ likelihood of being voted by institutional investors as “star” analysts, but act as a partial substitute to performance for men, while a complement to performance for women. Our evidence indicates that men benefit more than women from connections in both job performance and the subjective evaluation by others.Received August 27, 2015; editorial decision January 24, 2017 by Editor Francesca Cornelli.",instrumental
https://openalex.org/W3121195061,"The Fetal Origins Hypothesis in Finance: Prenatal Environment, the Gender Gap, and Investor Behavior",2015,Review of Financial Studies,"We find that differences in individuals' prenatal environments explain heterogeneity in financial decisions later in life. An exogenous increase in exposure to prenatal testosterone is associated with the masculinization of financial behavior, specifically with elevated risk taking and trading in adulthood. We also examine birth weight. Those with higher birth weight are more likely to participate in the stock market, whereas those with lower birth weight tend to prefer portfolios with higher volatility and skewness, consistent with compensatory behavior. Our results contribute to the understanding of how the prenatal environment shapes an individual's behavior in financial markets later in life. Received May 2, 2014; accepted September 30, 2015 by Editor David Hirshleifer.",instrumental
https://openalex.org/W3121632318,How Family Status and Social Security Claiming Options Shape Optimal Life Cycle Portfolios,2015,Review of Financial Studies,"We show how optimal household decisions regarding work, retirement, saving, portfolio allocations, and life insurance are shaped by the complex financial options embedded in U.S. Social Security rules and uncertain family transitions. Our life cycle model predicts sharp consumption drops on retirement, an age-62 peak in claiming rates, and earlier claiming by wives versus husbands and single women. Moreover, life insurance is mainly purchased on men's lives. Our model, which takes Social Security rules seriously, generates wealth and retirement outcomes that are more consistent with the data, in contrast to earlier and less realistic models.",sex_differences_catalogue
https://openalex.org/W3123377200,The Origins and Real Effects of the Gender Gap: Evidence from CEOs’ Formative Years,2020,Review of Financial Studies,"Abstract Using individual census records, we provide novel evidence on CEOs’ socioeconomic backgrounds and study their role in investment decisions. Male CEOs allocate more investment capital to male than female division managers. This gender gap is driven by CEOs who grew up in male-dominated families where the father was the only income earner and had more education than the mother. The gender gap also increases for CEOs who attended all-male high schools and grew up in neighborhoods with greater gender inequality. The effect of gender on capital budgeting introduces frictions and erodes investment efficiency.",gender_mechanisms
https://openalex.org/W2418810616,Editor's Choice Financial Attention,2016,Review of Financial Studies,"This paper investigates financial attention using novel panel data on daily investor online account logins. We find support for selective attention to portfolio information. Account logins fall by 9.5% after market declines. Investors also pay less attention when the VIX volatility index is high. The level of attention and the attention/return correlation are strongly related to investor demographics (gender, age) and financial position (wealth, holdings). Using a new statistical decomposition, we show how aggregate and individual household trading are related to investor attention. Received October 31, 2014; accepted July 29, 2015 by Editor David Hirshleifer.",instrumental
https://openalex.org/W2886884049,Birds of a Feather: The Impact of Homophily on the Propensity to Follow Financial Advice,2018,Review of Financial Studies,"Homophily—individuals’ affinity for others like them—is a powerful principle that governs whose opinions people attend to. Using nearly 2, 400 advisory meetings, we find that homophily has a significant positive impact on the likelihood of following financial advice. The increased likelihood of following stems from homophily on gender and age for male clients and from sameness on marital and parental status for female advisees. Moreover, the homophily effect is mitigated by reduced information asymmetry between client and advisor and a long-term relationship with the bank. Our results suggest that client-advisor matching increases individuals’ propensity to follow financial advice. Received June 21, 2017; editorial decision June 7, 2018 by Editor Philip Strahan.",instrumental
